title,artist,album,url,description,release_year,fetch_date
San juanito-Pasillo-Centinela,Salteños,Desde el sur,https://www.youtube.com/watch?v=YcswxJMZG8M,,,2026-04-18 23:06:41
Tus Lágrimas,Karu Nan,Chimbaloma,https://www.youtube.com/watch?v=oJ7fSMNi27o,,,2026-04-18 23:06:41
Sanjuanito de Otro Tiempo (Sanjuanito),"Los Folkloristas, Arturo Aguirre",Rondador Ecuatoriano,https://www.youtube.com/watch?v=Yimmb4FeqWM,,,2026-04-18 23:06:41
Folclore Ecuador,Hanamanta,Te Esperé,https://www.youtube.com/watch?v=jfsrWWrL7V4,,,2026-04-18 23:06:41
Ponchito,Ahaju Fusion Boliwia,The Best of the Andes with Native Instruments,https://www.youtube.com/watch?v=MwG-pthZjEE,,,2026-04-18 23:06:41
Sanjuanito de Mi Pueblo,Amor Paisano,Sanjuanito de Mi Pueblo,https://www.youtube.com/watch?v=wUrnxouhzTA,,,2026-04-18 23:06:41
Sanjuanito Del Ecuador (En Vivo),Jhonny Chamba,Sanjuanito Ecuatorianos (En Vivo),https://www.youtube.com/watch?v=cYlvAI3JuZs,,,2026-04-18 23:06:41
Hasta Mañana,Duo Los Inolvidables,"San Juanitos Inolvidables Vol. 1, Explosión Musical 2000",https://www.youtube.com/watch?v=aB-zT1jDIhA,,,2026-04-18 23:06:41
San Juanito,Huauquipuras,Huauquipuras,https://www.youtube.com/watch?v=XZfBOjKmbtc,,,2026-04-18 23:06:41
Mezcla sanjuanitos solo guitarra,Hermanos Chamba,Mix los Hermanos Chamba,https://www.youtube.com/watch?v=-kgai-IC7kE,,,2026-04-18 23:06:41
Jala Cuitsagu,Karu Nan,Chimbaloma,https://www.youtube.com/watch?v=xSHD-10hElg,,,2026-04-18 23:06:41
San Juanito de Mi Tierra,Oshka Tarazona,"Oshka, Music Of Andes",https://www.youtube.com/watch?v=GvLWa1dYFcw,,,2026-04-18 23:06:41
San Juanito,Wayra Ñan,Andinas 100% - el Condor Pasa,https://www.youtube.com/watch?v=iHGPgWxKvR0,,,2026-04-18 23:06:41
San Juanito Caprichoso,Ensamble Alejandro Arévalo,La Voz del Silencio,https://www.youtube.com/watch?v=yWgssE6L3pc,,,2026-04-18 23:06:41
San Juanito - San Pedrito,Puro Gusto,Gusto Gustulla,https://www.youtube.com/watch?v=SzNcmdwkC7M,,,2026-04-18 23:06:41
La Zambiceña,Jayac,Energía Vital,https://www.youtube.com/watch?v=NtruWJUQzrA,,,2026-04-18 23:06:41
"Ama Tu País, Sanjuanero",Bayron Caicedo,"En la Vida Hay Que Gozar, Vol. 3",https://www.youtube.com/watch?v=sR7tWoYNQ1I,,,2026-04-18 23:06:41
San Juanito 2,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 63",https://www.youtube.com/watch?v=2Qlp-SlWsAA,,,2026-04-18 23:06:41
"San Juan, San Juan, Voces y Cuerdas de Cutervo",Los Incateños,"Las Mejores Clásicas Andinas, Vol. 131",https://www.youtube.com/watch?v=oZno4phjuHQ,,,2026-04-18 23:06:41
Shungu Ukupi,Raimy Salazar,Ritmos Andinos,https://www.youtube.com/watch?v=DKCz6AgHpoo,,,2026-04-18 23:06:41
Sanjuanito del Piru Piru (feat. Hugo Y Sus Bailanderos),Lucho Chimborazo,El Indio Gran...de Ecuador,https://www.youtube.com/watch?v=aHd6CU2DAFY,,,2026-04-18 23:06:41
Ñuca Llacta,Bolivia Manta,Quechua Music,https://www.youtube.com/watch?v=GQxRw3PrNno,,,2026-04-18 23:06:41
Pajarillo,Benítez y Valencia,Idilio Ecuatoriano: Benítez y Valencia,https://www.youtube.com/watch?v=uyvG0_648z8,,,2026-04-18 23:06:41
Pobre Corazon,Marcelo Sánchez,Solo Pistas Vol. 10,https://www.youtube.com/watch?v=PCSn5xoREyA,,,2026-04-18 23:06:41
Aeroplano,Cesar Espinoza,Kutin Takishun,https://www.youtube.com/watch?v=Ljz06PGOtNA,,,2026-04-18 23:06:41
San Juanito De Mi Tierra,Oshka Tarazona,"Quenas Zampoñas Breaching Borders, ...Music of Andes",https://www.youtube.com/watch?v=VBMu9a0X6Vk,,,2026-04-18 23:06:41
San Juanito Peshte Longuita,Los Incateños,Los Mejores Clásicos Andinos para el Mundo,https://www.youtube.com/watch?v=aqp0WNB_S3U,,,2026-04-18 23:06:41
Antonio mocho,"Kardos Mária, Bocz Krisztina, Szénási Zsuzsa, Sándor Pétet, Jorge Alberto Arijona, and Jose Omar Flores",Mezcla,https://www.youtube.com/watch?v=bDbPQkJENfs,,,2026-04-18 23:06:41
Linda bella,Ñanda Mañachi,Peguche Capilla,https://www.youtube.com/watch?v=gkyrddZQhiY,,,2026-04-18 23:06:41
El Pituco,tarpuy,Espiritu del Tiempo,https://www.youtube.com/watch?v=RI23wvNM2mU,,,2026-04-18 23:06:41
Longuita Alegre (feat. Blanca Tipanluisa),Juan Morales,Por Las Calles de Cayambe - Homenaje al Sanjuanito Ecuatoriano,https://www.youtube.com/watch?v=EBzidkWSkNQ,,,2026-04-18 23:06:41
Arco Iris,Nazca,Mother Earth-Andean Winds,https://www.youtube.com/watch?v=mICQxHbtYkA,,,2026-04-18 23:06:41
"Tus, Tus, Tus",Ñanda Mañachi,Traditional Music Of The Andes,https://www.youtube.com/watch?v=Kyk0bQvI1a8,,,2026-04-18 23:06:41
Huasca de Corales / Regresa Pronto,Angel Ulloa,Me Duele Tu Partida,https://www.youtube.com/watch?v=sjnsDQxBqNg,,,2026-04-18 23:06:41
Canguro Tullo,Ecuador Inkas,El Cóndor Pasa,https://www.youtube.com/watch?v=AIP_I66ZL9Y,,,2026-04-18 23:06:41
Peshte Longuita (Sanjuanito Version),Rumiñahui,Música de Ecuador,https://www.youtube.com/watch?v=MeIF0oZrTvU,,,2026-04-18 23:06:41
San Juanito Irlandés,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 63",https://www.youtube.com/watch?v=8GkiljHpsGY,,,2026-04-18 23:06:41
El Chinchinal (Sanjuanito),Yoder Chamba,Éxitos Inmortales,https://www.youtube.com/watch?v=lrrEA-QVaJY,,,2026-04-18 23:06:41
Mi Ecuador,Trio Sensacional,Mi Ecuador,https://www.youtube.com/watch?v=Ak4mSHzNBGo,,,2026-04-18 23:06:41
San Juanitos,Inca Son,Peru - A Musical Journey,https://www.youtube.com/watch?v=_wxvhkgPY-Q,,,2026-04-18 23:06:41
16 Piruritu.wav,"Luis Humberto Gramal, Jose Segundo Gramal, Dave West, Richard Maldonado",The Best Of Winiaypa,https://www.youtube.com/watch?v=Fv_A10020AE,,,2026-04-18 23:06:41
Waytaku,Yarina,Yawar Wawki,https://www.youtube.com/watch?v=mCXCzsl_NhY,,,2026-04-18 23:06:41
Que siga la farra Sanjuanito,Banda Municipal de Quito,QUE SIGA LA FARRA,https://www.youtube.com/watch?v=Igj0stGLv-M,,,2026-04-18 23:06:41
Pobre Indiecito,Fresia Saavedra,Éxitos Eternos De Nuestra Música Nacional,https://www.youtube.com/watch?v=sISrLja3aRo,,,2026-04-18 23:06:41
Mashalla (Tonada) (Ecuador),Los Folkloristas,Cantando Raíces,https://www.youtube.com/watch?v=7A2PKcFz5LQ,,,2026-04-18 23:06:41
Toro Barroso,Banda Show 24 de Mayo de Patate,Música De Ecuador Vol 5,https://www.youtube.com/watch?v=py-CpethUY0,,,2026-04-18 23:06:41
Jihua,Charijayac,Made In Ecuador - Sus Mejores Éxitos,https://www.youtube.com/watch?v=Bx70ZUGApe8,,,2026-04-18 23:06:41
Ecuador Tierra Soñada (Sanjuanito),Fausto Huayamabe,Ecuador Tierra Soñada (Sanjuanito),https://www.youtube.com/watch?v=uw-pFIF-LPQ,,,2026-04-18 23:06:41
Pucaicha,Bolivia Manta,Anata,https://www.youtube.com/watch?v=tf6Llnl4hEc,,,2026-04-18 23:06:41
Perla Ecuatoriana,Yoder Chamba,Llora Requinto,https://www.youtube.com/watch?v=JzsEhajfhFQ,,,2026-04-18 23:06:41
Jilguerito,Yarina,Nawi,https://www.youtube.com/watch?v=kz2enX1s5VU,,,2026-04-18 23:06:41
Pobre Corazón,Trío Los Brillantes,Época de Oro,https://www.youtube.com/watch?v=m5PgVv8PkfA,,,2026-04-18 23:06:41
Sanjuanitos (Comuneros - Andariego - Carabuela),Malki,Sanjuanitos (Comuneros - Andariego - Carabuela),https://www.youtube.com/watch?v=c_MH7Lb6cmk,,,2026-04-18 23:06:41
Chamizas,Hermanas Mendoza Suasti,Grandes Éxitos,https://www.youtube.com/watch?v=WX_HRTiOG44,,,2026-04-18 23:06:41
Tenía un San Juanito,Fernando Armengol Ruano,"Kena Viento de América, vol. 3",https://www.youtube.com/watch?v=3M7oaxSPKDc,,,2026-04-18 23:06:41
Sanjuacum,Wayanay,Acorazonado,https://www.youtube.com/watch?v=XXujukUH91Q,,,2026-04-18 23:06:41
Palomita Cuculí,Hermanas Mendoza Suasti,Voces Eternas Del Ecuador,https://www.youtube.com/watch?v=B6Faz4eLV7Q,,,2026-04-18 23:06:41
Garu Llactamanmi,Ecuador Inkas,El Cóndor Pasa,https://www.youtube.com/watch?v=Wqa_8XfU7Ak,,,2026-04-18 23:06:41
Caminando,Hermanas Mendoza Suastí,Ecuador Sus Mas Bellas Canciones,https://www.youtube.com/watch?v=vuSrzL3MBPA,,,2026-04-18 23:06:41
Amores Hallaras,Music festival Andina,San juanitos,https://www.youtube.com/watch?v=3epgsytpRqY,,,2026-04-18 23:06:41
Ponchito,Cesar Espinoza,Kutin Takishun,https://www.youtube.com/watch?v=gqfGHpsbe4A,,,2026-04-18 23:06:41
Antonio Mocho,Charijayac,Made In Ecuador - Sus Mejores Éxitos,https://www.youtube.com/watch?v=IOT6t6E546c,,,2026-04-18 23:06:41
Kalpay,Ñucanchi Ñan,Kalpay,https://www.youtube.com/watch?v=KVv-bEy2XKA,,,2026-04-18 23:06:41
Uyachishun,Karu Ñan,Kimsa Juyashka,https://www.youtube.com/watch?v=ThB0NlJN1_c,,,2026-04-18 23:06:41
Purimuy,Indios del Sur,"Pachacutec. Folklore Music from Andes, Peru, Ecuador, Bolivia",https://www.youtube.com/watch?v=8wu888yEslg,,,2026-04-18 23:06:41
San Juanito de la Luna (San Juanito Of The Moon) (2023 Remastered),Huayucaltia,Horizontes (2023 Remastered),https://www.youtube.com/watch?v=AHZOR7xNqv0,,,2026-04-18 23:06:41
Polaquita,Wuauquikuna,Best of Meditation II,https://www.youtube.com/watch?v=X8XdqSzEgg8,,,2026-04-18 23:06:41
Rosalia,Proyección Latina,"Proyeccion Latina, Vol. 3",https://www.youtube.com/watch?v=Xw_GlaQ57JY,,,2026-04-18 23:06:41
San Juanito 2,Ensamble Alejandro Arévalo,Revelaciones Extraordinarias,https://www.youtube.com/watch?v=D9ezQDJ2ado,,,2026-04-18 23:06:41
Baila Cholita,Duo Savedra Bohorquez,"Baila Cholita, Los Sanjuanitos Mas Sonados de Mi Lindo Ecuador",https://www.youtube.com/watch?v=8RY2jWlZc2A,,,2026-04-18 23:06:41
Juyasschca Huarmigu,Ahaju Fusion Boliwia,"The Best of the Andes (Peru - Bolivia - Ecuador), Vol. 1",https://www.youtube.com/watch?v=TaPyZJUMjtA,,,2026-04-18 23:06:41
Sanjuanito,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 100",https://www.youtube.com/watch?v=UC4DKVZgZNg,,,2026-04-18 23:06:41
Santa Rosa y San Ramon,Los 3 Ases,"Por Algo Me Han de Recordar, Vol.3",https://www.youtube.com/watch?v=oaFen9G-4Pg,,,2026-04-18 23:06:41
Sanjuanito de mi Pueblo,Washkas,Sanjuanito de mi Pueblo,https://www.youtube.com/watch?v=inuQAiVXSx8,,,2026-04-18 23:06:41
San Juanito,Goupe Sayri Tupac,Andes : Les flûtes du soleil (Air Mail Music Collection),https://www.youtube.com/watch?v=aEqm_-Ye5EY,,,2026-04-18 23:06:41
San Juanito,Runa Marka,Time of the Love. Music From the Andes.,https://www.youtube.com/watch?v=fcjMWeoyeFE,,,2026-04-18 23:06:41
Sanjuanito de Otros Tiempos,"Los Corazas, Carlos Bonilla, Gonzalo Castro",La Flauta de Ecuador,https://www.youtube.com/watch?v=v7pIBWFVDjs,,,2026-04-18 23:06:41
San Juanitos,Inca Son,"(Volume #1) Ascope, Tierra Del Amanecer (Ascope, Land of the Dawn)",https://www.youtube.com/watch?v=fdE1LNW-pUs,,,2026-04-18 23:06:41
Ecuador (En Vivo),Jhonny Chamba,Sanjuanito Ecuatorianos (En Vivo),https://www.youtube.com/watch?v=81RWRVt7NFI,,,2026-04-18 23:06:41
La Forasterita,"Los Corazas, Carlos Bonilla, Gonzalo Castro",La Flauta de Ecuador,https://www.youtube.com/watch?v=uE0g8F_nqQE,,,2026-04-18 23:06:41
Magolita,Jokiwas,Magolita,https://www.youtube.com/watch?v=cD6knY6mQrY,,,2026-04-18 23:06:41
El Camote,"Soledad Morales, Polibio Mayorga",Recuerdos de Mi Tierra,https://www.youtube.com/watch?v=ijCmA8uXlBU,,,2026-04-18 23:06:41
Cuatro esquinas,Samy,Los Sanjuanitos de mi Vida,https://www.youtube.com/watch?v=KPQ1ESPpMdQ,,,2026-04-18 23:06:41
Ojitos Negros,Rumiñahui,Saraguro Llactamanta,https://www.youtube.com/watch?v=BIBxeSrYFP0,,,2026-04-18 23:06:41
Sanjuanitos Ñuca Llacta,PANBUR HERMANOS PANTA BURE,Sanjuanitos Ñuca Llacta,https://www.youtube.com/watch?v=jtfZU08FA7Y,,,2026-04-18 23:06:41
Sanjuanito de mi Tierra,Grupo Inka Llakta,14 Éxitos Folkloricos Latinoamericanos,https://www.youtube.com/watch?v=E691ArXCWEQ,,,2026-04-18 23:06:41
Solo Solito,Coplas del Corazón,Solo Solito,https://www.youtube.com/watch?v=ac1QrPgZw8Q,,,2026-04-18 23:06:41
San Juanito de la Esperanza,"Joel Francisco Perri, Cedric Perri","Perri, Joel: Master of the Indian Flutes",https://www.youtube.com/watch?v=ESsQJIrq2G0,,,2026-04-18 23:06:41
Marujita,El Jilguero del Huascarán,Mis Primeros Éxitos,https://www.youtube.com/watch?v=GzsTHCJhw3Q,,,2026-04-18 23:06:41
Viva La Fiesta ! (En Vivo),Hermanas Mendoza Suasti,Obras Cumbres Del Ecuador (En Vivo),https://www.youtube.com/watch?v=o5ie6lRyhwE,,,2026-04-18 23:06:41
Sanjuanito de mi Tierra (Sanjuanito Ecuador),Hnas. Mendoza-Suasti,Lo Mejor del Ecuador,https://www.youtube.com/watch?v=VvAXnlrUjwM,,,2026-04-18 23:06:41
Misa Punlla / San Juan Capilla / Curiquingue,Bolivia Manta,Quechua Music,https://www.youtube.com/watch?v=JoO6wEJ90O0,,,2026-04-18 23:06:41
Ñuca Llacta (Tonada de Ecuador version),Hermanas Mendoza Suasti,18 Exitos de Ecuador,https://www.youtube.com/watch?v=Tbx3n1o0YBc,,,2026-04-18 23:06:41
Te Amo Señor (Sanjuanito),Antonio Pástor,Tuya Es La Gloria - Música Andina Con Antonio Pástor,https://www.youtube.com/watch?v=dZ1V8sQb3-Y,,,2026-04-18 23:06:41
Bailando Me Despido,Hermanas Mendoza Suastí,Ecuador Sus Mas Bellas Canciones,https://www.youtube.com/watch?v=tevLgPHUHRw,,,2026-04-18 23:06:41
San Juanito,Oshka Tarazona,Sabor Latino,https://www.youtube.com/watch?v=99jVpTi_7dc,,,2026-04-18 23:06:41
Andean Christmas: IV. San Juanito Para El Niño,Quimantu,Pilgrimage to the Andes,https://www.youtube.com/watch?v=TU5Zbo0RO5k,,,2026-04-18 23:06:41
Corazón Equivocado,Ñanda Mañachi,Del Ecuador Para el Mundo Entero,https://www.youtube.com/watch?v=NoWpKSXokKA,,,2026-04-18 23:06:41
Por la raza,Dos Lunas,Fiesta Ecuatoriana,https://www.youtube.com/watch?v=FHloyBqGZWA,,,2026-04-18 23:06:41
